TITLE,AUTHOR,HATHI_ID,PUBLISHER,YEAR,GENDER,RACE,NATIONALITY,GENRE,YEAR_CORRECT
A Christmas Book,"Anglund, Joan Walsh",,Random House,1950,F,Caucasian,American,LIT,1983
"20,000 Baseball Cards Under The Sea","Buller, Jon",,Random House,1950,M,Caucasian?,American,YA,1991
A Christmas Memory,"Capote, Truman",,Random House,1950,M,Caucasian,American,LIT,1956
7Th Heaven,"Christie, Amanda",,Random House,1950,F,white,American,ROM,2000
20Th-Century Dreams,"Cohn, Nik",,Random House,1950,M,Caucasian,British,LIT,1999
"20,000 Leagues Under The Sea","Conaway, Judith",,Random House,1950,F,,,SCI,1983
13 White Tulips,"Crane, Frances",,Random House,1950,F,white,American,DET,1953
A Big Box Of Memories,"Delton, Judy",,Random House,1950,F,Caucasian,American,YA,2000
A Bell For Adano,"Hersey, John",,Random House,1950,M,Caucasian,American,LIT,1973
A Certain Justice,"James, P D",,Random House,1950,F,Caucasian,British,DET,1997
003 12,"Mascott, R D",,Random House,1950,,,,DET,"1968, 1967"
A Certain Smile,"Michael, Judith",,Random House,1950,"M, F",Caucasian,American,ROM,1999
A Bend In The River,"Naipaul, V S",,Random House,1950,M,South Asian,British,LIT,1979
14 Junie B Jones And The Mushy Gushy Valentine,"Park, Barbara",,Random House,1950,F,Caucasian,American,YA,1999
6 Junie B Jones And The Meanie Jim'S Birthday,"Park, Barbara",,Random House,1950,F,Caucasian,American,YA,1996
A Careless Widow And Other Stories,"Pritchett, V S",,Random House,1950,M,,British,LIT,1989
361,"Westlake, Donald E",,Random House,1950,M,Caucasian,American,,
3 Little Horses,"Worm, Piet",,Random House,1950,M,Caucasian,Dutch,YA,1958
3 Little Horses Have A Holiday,"Worm, Piet",,Random House,1950,M,Caucasian,Dutch,YA,1963
Sunrise to sunset / | $c: [by] Samuel Hopkins Adams.,"Adams, Samuel Hopkins,",uc1.$b86201,New York|Random House|1950,1950,M,Caucasian,American,ROM,1950
Wait for the dawn | $c: [by] Martha Albrand [pseud.],"Albrand, Martha.",uc1.$b120100,New York|Random House|1950,1950,F,Caucasian,American,ROM,1950
"The delicate prey, | and other stories.","Bowles, Paul,",mdp.39015054095990,New York|Random House|1950,1950,M,Caucasian,American,LIT,1950
"The watchful gods, | and other stories.","Clark, Walter Van Tilburg,",mdp.39015013110138,New York|Random House|1950,1950,M,white,American,LIT,1950
Collected stories / | $c: William Faulkner.,"Faulkner, William,",mdp.39015000689193,New York|Random House|1950.,1950,male,white,american,LIT,1950
Paul Revere and the minute men / | $c: by Dorothy Canfield Fisher ; illustrated by Norman Price.,"Fisher, Dorothy Canfield,",mdp.39015020072008,New York|Random House|1950.,1950,female,white,american,HIST,1950
Our independence and the Constitution; | $c: illustrated by Robert Doremus.,"Fisher, Dorothy Canfield,",mdp.39015024084074,New York|Random House|1950,1950,F,Caucasian,American,HIST,1950
So many doors / | $c: Oakley Hall.,"Hall, Oakley M.",uc1.$b102597,New York|Random House|c1950.,1950,male,white,american,ROM,1950
Memory and desire.,"Hornblow, Leonora,",uc1.$b102210,New York|Random House|1950,1950,female,white,american,ROM,1950
Selected writings;,"Howells, William Dean,",mdp.39015011491795,New York|Random House|1950,1950,male,white,american,LIT,1950
One-dog man.,"Kam_í_Œ‚í_Œé____í_Œ‚í_Œé__l, A__í_Œ‚í_Œé___í_Œ‚í_Œé___í_Œ‚í_Œé____í_Œ‚í_Œé__ad,",uc1.$b103878,New York|Random House|1950,1950,male,na,na,YA,1950
Signal thirty-two; | a novel.,"Kantor, MacKinlay,",mdp.39015014861721,New York|Random House|1950,1950,male,white,american,DET,1950
Jubel's children.,"Kaufman, Lenard,",uc1.$b105745,New York|Random House|1950,1950,na,na,na,LIT,1950
Moulin rouge.,"La Mure, Pierre.",pst.000006093334,Random House|c1950].,1950,male,white,french,HIST,1950
Moulin Rouge; | a novel based on the life of Henri de Toulouse-Lautrec.,"La Mure, Pierre.",uc1.b4377578,New York|Random House|1950,1950,M,Caucasian,French,LIT,1950
Louisville Saturday.,"Long, Margaret.",wu.89100340496,New York|Random House|1950,1950,female,na,na,ROM,1950
"Selected tales / | $c: edited, with an introd., by Saxe Commins; illustrated by Adolf Dehn.","Maupassant, Guy de,",pst.000029619047,New York|Random House|1950].,1950,male,white,french,LIT,1950
Do evil in return.,"Millar, Margaret,",mdp.39015030760931,New York|Random House|1950,1950,F,Caucasian,American,DET,1950
Springtime in Paris. | $c: By Elliot Paul.,"Paul, Elliot,",mdp.39015002966326,New York|Random House|1950,1950,male,white,american,LIT,1950
Murder at Arroways /,"Reilly, Helen (Kieran)",mdp.39015048886850,New York|Random House|1950.,1950,female,white,american,DET,1950
"I, my ancestor.","Ross, Nancy Wilson,",uc1.$b105020,New York|Random House|1950,1950,female,white,american,ROM,1950
The disenchanted / | $c: Budd Schulberg.,"Schulberg, Budd.",mdp.39015002719766,New York|Random House|1950.,1950,male,white,american,LIT,1950
Mixed company : | collected short stores of Irwin Shaw.,"Shaw, Irwin,",mdp.39015013934057,New York|Random House|1950.,1950,M,Caucasian,American,LIT,1950
The far cry.,"Smith, Emma,",mdp.39015063964566,"New York|Random House|1950, c1949",1950,female,white,british,ROM,1950
The voyages of Christopher Columbus.,"Sperry, Armstrong,",mdp.39076006983527,New York|Random House|1950,1950,male,white,american,HIST,1950
"The Saint, | a novel; | $c: translated by Willard R. Trask.","Unruh, Fritz von,",uc1.32106002245436,New York|Random House|1950,1950,male,white,german,LIT,1950
World enough and time : | a romantic novel / | $c: Robert Penn Warren.,"Warren, Robert Penn,",mdp.39015014198017,New York|Random House|c1950.,1950,male,white,american,LIT,1950
A Closed Eye,"Brookner, Anita",,Random House,1951,F,white,British,LIT,1991
A Far Country,"Fletcher, John",,Random House,1951,M,Caucasian?,British,HIST,2000
A Dollar For Penny,"Glass, Julie",,Random House,1951,F,Caucasian,American,YA,2000
A Dog Called Bear,"Murray, Martine",,Random House,1951,F,,Australian,YA,2000
A Day No Pigs Would Die,"Peck, Robert Newton",,Random House,1951,M,Caucasian,American,LIT,1972
A Dream For Addie,"Rock, Gail",,Random House,1951,female,white,american,ROM,1975
A Dog Star Is Born,"Sharmat, Marjorie Weinman",,Random House,1951,F,Caucasian,American,YA,"2000, 1994"
A Cup Of Death,"Thompson, Gene",,Random House,1951,M,Caucasian,American,DET,1987
A Confederacy Of Dunces,"Toole, John Kennedy",,Random House,1951,M,Caucasian,American,LIT,1994
The grass harp.,"Capote, Truman,",uc1.32106002094891,New York|Random House|1951,1951,male,white,american,LIT,1951
The form divine.,"Dolson, Hildegarde.",uc1.b3687829,New York|Random House|1951,1951,female,white,american,ROM,1951
Great stories of science fiction;,"Jenkins, Will,",mdp.39015066293039,New York|Random House|1951,1951,M,Caucasian,American,SCI,1951
Point of honor.,"Kadish, Mortimer R. (Mortimer Raymond),",uc1.$b55879,New York|Random House|1951,1951,male,white,american,DET,1951
"The explorations of P_í_Œ‚í_Œé___í_Œ‚í_Œé___re Marquette, | $c: by Jim Kjelgaard, illustrated by Stephen J. Voorhies.","Kjelgaard, Jim,",mdp.39015017898753,New York|Random House|1951,1951,male,white,american,,1951
"Bella, Bella kissed a fella.","Kober, Arthur,",uc1.$b102370,New York|Random House|1951,1951,male,white,american,DET,1951
"Barabbas; translated by Alan Blair, | with a pref. by Lucien Maury and a letter by Andr__í_Œ‚í_Œé___í_Œ‚í_Œé__ Gide.","Lagerkvist, P__í_Œ‚í_Œé__r,",mdp.39015005555571,New York|Random House|1951,1951,male,white,swedish,,1951
Home is an island.,"Lewis, Alfred,",uc1.b3553055,New York|Random House|1951,1951,male,latinx,na,LIT,1951
World so wide : | a novel / | $c: Sinclair Lewis.,"Lewis, Sinclair,",mdp.39015008899414,New York|Random House|1951.,1951,M,Caucasian,American,LIT,1951
Return to paradise / | $c: by James A. Michener.,"Michener, James A. (James Albert),",mdp.39015002323866,New York|Random House|1951.,1951,male,white,american,LIT,1951
The blessing.,"Mitford, Nancy,",mdp.39015001796534,New York|Random House|1951,1951,female,white,british,ROM,1951
